player_id,player_name,player_state,summed_minutes_played,form,fdr,pts_irf,player_position,player_cost,opp,gwk_31_pts
321,Carroll,75,3,0.4,2,0,DEF,4.2,BUR,0
322,Diop,100,450,2,4,0,MID,5,LEI,1
323,Nketiah,100,0,0,2,1,MID,4.2,SHU,1
324,Cairney,0,0,0,3,2,MID,5.2,WOL,0
325,Henderson,100,360,4.4,4,0,MID,4.6,TOT,2
326,Bailly,25,90,1.6,4,-2,DEF,4.6,TOT,0
327,Krafth,100,321,3.6,2,2,MID,4.6,BUR,0
328,Sean Longstaff,100,104,1.2,2,1,GKP,4.1,BUR,2
329,Brewster,100,143,0.8,3,0,GKP,4.1,ARS,1
331,Schär,100,0,0,2,1,DEF,4.3,BUR,0
332,Fuchs,100,0,0,4,0,FWD,4.3,WHU,0
333,Shaqiri,100,90,0.4,3,0,MID,4.7,AVL,1
335,Livermore,100,1,0.2,2,1,GKP,4.8,SOU,0
336,Fredericks,100,11,0.2,4,0,MID,4.2,LEI,0
338,Pereira,100,334,1.2,4,0,MID,4.9,WHU,3
340,Lamela,100,122,1.2,4,0,FWD,5.1,MUN,1
341,Lo Celso,100,152,0.6,4,0,MID,4.9,MUN,2
342,Lanzini,100,28,0.2,4,0,DEF,4.6,LEI,0
344,Gayle,100,193,1,2,0,DEF,4.4,BUR,1
345,Johnson,100,170,0.8,4,0,DEF,4.4,LEI,1
347,Marí,100,270,1,2,0,DEF,4.5,SHU,5
349,Aké,100,0,0,3,1,DEF,4.2,LEE,0
350,Hourihane,0,0,0,4,0,MID,5.2,LIV,0
351,Amartey,100,291,2.6,4,0,DEF,4.8,WHU,0
352,Llorente,100,450,2.6,5,0,DEF,4.2,MCI,2
353,Hernández,100,19,0,5,0,FWD,5.9,MCI,0
354,Mata,50,0,0,4,0,DEF,3.9,TOT,0
355,Ivanovic,75,23,0.4,2,0,MID,6.9,SOU,0
356,Noble,100,167,1,4,1,DEF,4.2,LEI,2
357,Ramsey,100,159,1.2,4,0,DEF,5.9,LIV,1
358,van de Beek,100,8,0.2,4,1,DEF,5,TOT,0
360,Cork,100,170,0.8,2,0,MID,4.5,NEW,0
361,McCarthy,100,72,0.8,4,2,DEF,5,CHE,1
362,Bernard,100,97,0.8,2,0,MID,5.7,BHA,0
363,Dubravka,100,450,3.6,2,0,MID,4.5,BUR,3
364,Forster,100,360,2.4,2,0,GKP,4.5,WBA,2
365,Marçal,25,0,0,2,0,MID,6.4,FUL,0
366,Agüero,100,230,2.2,3,0,DEF,4.8,LEE,0
367,Krovinovic,0,0,0,2,1,MID,4.5,SOU,0
369,Vitinha,100,18,0.2,2,0,DEF,3.9,FUL,0
370,Nakamba,100,90,0.6,4,0,MID,6.4,LIV,2
371,Jahanbakhsh,100,4,0.4,4,0,MID,5.8,EVE,1
372,Ünder,0,39,0.2,4,1,GKP,4.7,WHU,0
373,Shackleton,100,0,0,5,0,DEF,4.5,MCI,1
374,Yarmolenko,100,0,0,4,0,MID,6.6,LEI,0
375,Jonny,100,324,2.4,2,0,MID,4.7,FUL,0
376,Arrizabalaga,100,0,0,3,0,MID,4.9,CRY,0
377,Tomkins,0,0,0,4,0,MID,4.5,CHE,0
379,van Dijk,0,0,0,3,-2,MID,5,AVL,0
380,Keita,100,123,0.6,3,1,DEF,5.3,AVL,0
381,Ritchie,100,108,0.6,2,0,MID,5.7,BUR,2
382,Tella,100,215,1.6,2,0,DEF,5.4,WBA,1
383,Long,25,0,0,2,1,MID,5.9,NEW,0
384,Alli,100,52,0.4,4,1,MID,4.3,MUN,0
385,Snodgrass,100,31,0.4,2,0,MID,4.3,SOU,0
387,Bryan,100,0,0,4,0,DEF,3.9,WHU,0
387,Bryan,100,0,0,4,0,MID,5.8,WHU,0
388,Choudhury,100,77,0.6,4,1,GKP,4,WHU,0
389,Dummett,100,360,1.6,2,0,DEF,4.4,BUR,2
390,Yedlin,0,0,0,2,0,MID,4.7,BUR,0
391,Jack Robinson,100,0,0,3,1,FWD,4.2,ARS,0
392,Winks,100,69,0.4,4,0,MID,5.4,MUN,0
394,Davis,100,46,1.2,4,0,MID,5.7,LIV,0
395,Chamberlain,100,36,0.4,3,0,DEF,4.4,AVL,0
396,Long,0,0,0,2,1,MID,4.3,WBA,0
398,Robson-Kanu,100,52,0.8,2,1,DEF,4.7,SOU,1
399,Martinelli,100,22,0.4,2,0,MID,4.8,SHU,8
400,Adrián,100,90,1.8,3,0,FWD,10.3,AVL,0
402,Benson,100,0,0,2,0,MID,4.9,NEW,0
403,Poveda-Ocampo,100,0,0,5,1,DEF,4.5,MCI,0
404,Kelleher,100,0,0,3,0,MID,5.7,AVL,0
405,Gomez,100,0,0,3,0,MID,5.5,AVL,0
406,Neco Williams,100,75,0.4,3,0,DEF,5.4,AVL,0
407,Origi,0,0,0,3,0,DEF,4.4,AVL,0
408,Matty Longstaff,100,0,0,2,0,DEF,6.2,BUR,0
409,Mousset,100,59,0.4,3,0,MID,5.2,ARS,1
410,Hoever,100,96,0.4,2,1,MID,7.4,FUL,0
411,Pröpper,100,14,0.4,4,0,DEF,4.3,EVE,0
412,Lowe,100,0,0,3,0,DEF,4.5,ARS,0
413,Chambers,100,270,1.6,2,0,DEF,4.1,SHU,6
414,Dunne,100,0,0,2,0,MID,5.1,NEW,0
415,Stephens,100,9,0.2,2,2,MID,5.6,NEW,0
417,Kamara,0,0,0,3,1,FWD,5.2,WOL,0
418,Tanganga,100,180,1.2,4,0,MID,5,MUN,0
419,Grosicki,100,0,0,2,0,FWD,5.4,SOU,0
421,Emerson,100,0,0,3,0,MID,4.6,CRY,0
422,Ream,100,0,0,3,2,MID,6.3,WOL,0
423,Onomah,100,24,0.4,3,0,DEF,4.3,WOL,0
424,Salisu,100,163,0.6,2,0,DEF,4.2,WBA,0
425,Randolph,25,90,0.2,4,0,FWD,6.9,LEI,0
428,Delph,0,0,0,2,1,MID,4.2,BHA,0
429,Kebano,0,0,0,3,1,FWD,5.8,WOL,0
431,Hegazi,25,0,0,2,0,FWD,5.1,SOU,0
432,Bernardo,0,0,0,4,0,FWD,4.5,EVE,0
433,Kenny,0,0,0,2,0,GKP,4.2,BHA,0
