player_id,player_name,player_state,summed_minutes_played,form,fdr,pts_irf,opp,player_position,player_cost,gwk_34_pts
524,McGill,100,0.0,0.00,3,1.50,"LEE ",GKP,3.9,0
525,Duffy,0,0.0,0.00,3,0.00,"LEE ",DEF,4.3,0
526,Montoya,25,0.0,0.00,3,0.00,"LEE ",DEF,4.5,0
527,Clarke,0,0.0,0.00,3,0.00,"LEE ",DEF,4.4,0
528,Karbownik,100,0.0,0.00,3,1.50,"LEE ",DEF,4.5,0
529,Mooy,0,0.0,0.00,3,0.00,"LEE ",MID,5.0,0
530,Jenks,100,0.0,0.00,3,0.00,"LEE ",MID,4.5,0
531,Sanders,0,0.0,0.00,3,0.00,"LEE ",MID,4.5,0
532,Weir,100,0.0,0.00,3,0.00,"LEE ",MID,4.5,0
533,Caicedo,100,0.0,0.00,3,1.50,"LEE ",MID,5.0,0
534,Murray,0,0.0,0.00,3,0.00,"LEE ",FWD,4.8,0
535,Andone,25,0.0,0.00,3,0.00,"LEE ",FWD,4.8,0
536,Norris,100,0.0,0.00,4,0.00,"WHU ",GKP,4.0,0
537,Gibson,0,0.0,0.00,4,0.00,"WHU ",DEF,3.9,0
538,Thomas,0,0.0,0.00,4,0.00,"WHU ",DEF,3.9,0
539,Driscoll-Glennon,100,0.0,0.00,4,0.00,"WHU ",DEF,3.9,0
540,Nartey,100,0.0,0.00,4,2.00,"WHU ",DEF,4.0,0
